#obsHistID,expMJD,filter,finSeeing,bandmag
199612,49608.230663,r,0.555108,25.93482311959143
199613,49608.23108,r,0.566739,25.934851221749213
199614,49608.231496,r,0.566821,25.934879256787283
199615,49608.231913,r,0.566903,25.934907359489042
199616,49608.23233,r,0.566986,25.93493546246238
199617,49608.232746,r,0.56707,25.934963498314062
199618,49608.233163,r,0.567154,25.934991601830898
199619,49608.23358,r,0.56724,25.935019705620302
199620,49608.233996,r,0.567326,25.93504774228561
199621,49608.234413,r,0.546192,25.93507584661804
199622,49608.23483,r,0.546274,25.935103951223045
199623,49608.235246,r,0.546357,25.935131988701514
199624,49608.235663,r,0.546441,25.935160093850044
199625,49608.23608,r,0.546526,25.935188199270666
199626,49608.236496,r,0.546611,25.935216237562805
199627,49608.236913,r,0.546697,25.935244343526968
199628,49608.23733,r,0.546784,25.935272449763232
199629,49608.237746,r,0.546872,25.93530048886906
199630,49608.238163,r,0.565035,25.935328595648876
202445,49611.289284,r,0.666334,26.1471711987527
202446,49611.289701,r,0.667675,26.14720052115659
202447,49611.290118,r,0.666767,26.14722984354296
202448,49611.290534,r,0.667049,26.147259095595366
202449,49611.290951,r,0.667332,26.147288417948197
202450,49611.291368,r,0.667616,26.147317740283434
202451,49611.291784,r,0.667902,26.147346992284767
202452,49611.292201,r,0.668189,26.14737631458582
202453,49611.292618,r,0.668477,26.14740563687024
202454,49611.293034,r,0.668767,26.1474348888203
202455,49611.293451,r,0.768827,26.14746421106988
202456,49611.293868,r,0.769182,26.147493533302764
202457,49611.294284,r,0.76954,26.14752278520134
202458,49611.294701,r,0.769899,26.147552107399253
202459,49611.295118,r,0.77026,26.147581429580388
202460,49611.295534,r,0.770622,26.14761068142677
202461,49611.295951,r,0.770986,26.147640003573315
202462,49611.296368,r,0.771352,26.14766932570251
202463,49611.296784,r,0.771719,26.147698577496996
202464,49611.297201,r,0.813569,26.14772789959146
208344,49618.06278,r,0.78586,26.608891364476946
208345,49618.063209,r,0.785251,26.60891917566323
208346,49618.063625,r,0.784926,26.608946144144078
208347,49618.064054,r,0.784612,26.608973955449127
208348,49618.064482,r,0.717263,26.609001701986
208349,49618.064898,r,0.71698,26.609028670639802
208350,49618.065327,r,0.716707,26.609056482123666
208351,49618.065755,r,0.716426,26.60908422883937
208352,49618.066172,r,0.716148,26.609111262495496
208353,49618.0666,r,0.715878,26.609139009329056
208354,49618.067028,r,0.715602,26.60916675622252
208355,49618.067456,r,0.715328,26.609194503175893
208356,49618.067885,r,0.716867,26.60922231501871
208357,49618.068313,r,0.716595,26.60925006209245
208358,49618.068741,r,0.716324,26.609277809225574
208359,49618.069169,r,0.716054,26.609305556418544
208360,49618.069598,r,0.715786,26.609333368501467
208361,49618.070014,r,0.71552,26.60936033785111
208362,49618.070442,r,0.715262,26.609388085221997
208363,49618.070871,r,0.714998,26.609415897483686
209553,49622.004696,r,1.426256,26.867973025700888
209554,49622.005113,r,1.42204,26.868001255696697
209555,49622.00553,r,1.409699,26.868029485927096
209556,49622.005958,r,1.408736,26.868058461083027
209557,49622.006386,r,1.40775,26.868087436485567
209558,49622.006814,r,1.406768,26.86811641213472
209559,49622.007243,r,1.40579,26.868145455731486
209560,49622.007671,r,1.404816,26.868174431874433
209561,49622.008099,r,1.403847,26.86820340826399
209562,49622.008516,r,1.402881,26.868231640170674
209563,49622.008944,r,1.353972,26.868260617047103
209564,49622.009372,r,1.353049,26.86828959417014
209565,49622.0098,r,1.352131,26.868318571539778
209566,49622.010229,r,1.351216,26.868347616861044
209567,49622.010645,r,1.350305,26.86837578225786
209568,49622.011074,r,1.349423,26.868404828067128
209569,49622.01149,r,1.348519,26.86843299393667
209570,49622.011919,r,1.347644,26.868462040233936
209571,49622.012347,r,1.287896,26.868491019071577
209572,49622.012775,r,1.287047,26.868519998155325
211596,49626.006402,r,0.715579,27.150178073133485
211597,49626.00683,r,0.740938,27.150209608614475
211598,49626.007259,r,0.740523,27.150241218133395
211599,49626.007687,r,0.74011,27.150272754326483
211600,49626.008115,r,0.739699,27.150304290875216
211601,49626.008532,r,0.73929,27.150335017247478
211602,49626.008948,r,0.769137,27.150365670271768
211603,49626.009377,r,0.76872,27.150397281554753
211604,49626.009793,r,0.768293,27.15042793526099
211605,49626.010221,r,0.767879,27.150459473559742
211606,49626.01065,r,0.767456,27.15049108590304
211607,49626.011078,r,0.767035,27.1505226249145
211608,49626.011495,r,0.766615,27.150553353685176
211609,49626.011923,r,0.766208,27.15058489339831
211610,49626.012351,r,0.760941,27.15061643346713
211611,49626.012779,r,0.760531,27.15064797389164
211612,49626.013196,r,0.760122,27.150678704040125
211613,49626.013624,r,0.759726,27.150710245166884
211614,49626.014052,r,0.75932,27.150741786649345
211615,49626.014481,r,0.758917,27.15077340218384
219327,49636.028615,r,0.592166,27.839890843103063
219328,49636.029044,r,0.613198,27.83990801923906
219329,49636.029472,r,0.613007,27.839925155302375
219330,49636.029889,r,0.56852,27.83994185091901
219331,49636.030317,r,0.568358,27.839958986913174
219332,49636.030745,r,0.568193,27.839976122872297
219333,49636.031173,r,0.568029,27.839993258796667
219334,49636.031602,r,0.567865,27.8400104347228
219335,49636.032018,r,0.567703,27.840027090132512
219336,49636.032446,r,0.567546,27.840044225952333
219337,49636.032875,r,0.567385,27.840061401773948
219338,49636.033303,r,0.55411,27.84007853752355
219339,49636.033731,r,0.553958,27.84009567323837
219340,49636.034159,r,0.553807,27.84011280891781
219341,49636.034576,r,0.553656,27.84012950416038
219342,49636.035004,r,0.553511,27.84014663977054
219343,49636.035421,r,0.553363,27.840163334945892
219344,49636.035849,r,0.553219,27.84018047048675
219345,49636.036277,r,0.553073,27.840197605992493
219346,49636.036706,r,0.536936,27.840214781499235
221759,49639.012564,r,0.671768,27.962103301722124
221760,49639.012992,r,0.613757,27.962123444837204
221761,49639.01342,r,0.613548,27.962143589399027
221762,49639.013848,r,0.613339,27.96216373540801
221763,49639.014265,r,0.613132,27.962183365037472
221764,49639.014693,r,0.612931,27.962203513903795
221765,49639.015121,r,0.612725,27.96222366421749
221766,49639.01555,r,0.612521,27.96224386306391
221767,49639.015978,r,0.636216,27.96226401627631
221768,49639.016406,r,0.636002,27.962284170935966
221769,49639.016823,r,0.635789,27.962303808994204
221770,49639.017251,r,0.635582,27.962323966512074
221771,49639.017679,r,0.635371,27.962344125477756
221772,49639.018107,r,0.635162,27.96236428589168
221773,49639.018524,r,0.634953,27.962383929556232
221774,49639.018941,r,0.634751,27.962403574595697
221775,49639.019369,r,0.623715,27.962423739278954
221776,49639.019797,r,0.623516,27.962443905410396
221777,49639.020214,r,0.623317,27.962463554646142
221778,49639.020642,r,0.623125,27.96248372363729
229220,49648.021811,r,0.575337,28.697719806654852
229221,49648.022228,r,0.578079,28.697754801327275
229222,49648.022656,r,0.571517,28.697790717542205
229223,49648.023073,r,0.571402,28.697825709138854
229224,49648.023501,r,0.571291,28.697861622197728
229225,49648.023918,r,0.571178,28.69789661071846
229226,49648.024334,r,0.571069,28.697931513821693
229227,49648.024763,r,0.570961,28.69796750606396
229228,49648.025191,r,0.570851,28.698003412806568
229229,49648.025619,r,0.570742,28.698039317949217
229230,49648.026036,r,0.570633,28.69807429875745
229231,49648.026464,r,0.541706,28.69811020074073
229232,49648.026892,r,0.541608,28.69814610112346
229233,49648.02732,r,0.541512,28.698181999905444
229234,49648.027749,r,0.541417,28.698217980956567
229235,49648.028165,r,0.541322,28.69825287013679
229236,49648.028594,r,0.541231,28.698288848019203
229237,49648.02901,r,0.541138,28.69832373412576
229238,49648.029438,r,0.541048,28.698359624983393
229239,49648.029867,r,0.546355,28.69839559809066
