#obsHistID,expMJD,filter,finSeeing,bandmag
165827,49561.251252,r,0.96264,nan
165828,49561.251681,r,0.962342,nan
165829,49561.252109,r,0.951342,nan
165830,49561.252526,r,0.951072,nan
165831,49561.252942,r,0.950811,nan
165832,49561.253371,r,0.950551,nan
165833,49561.253787,r,0.950287,nan
165834,49561.254204,r,0.950032,nan
165835,49561.254621,r,0.949778,nan
165836,49561.255049,r,0.949526,nan
165837,49561.255477,r,0.929046,nan
165838,49561.255905,r,0.928797,nan
165839,49561.256322,r,0.928551,nan
165840,49561.25675,r,0.928312,nan
165841,49561.257178,r,0.928069,nan
165842,49561.257595,r,0.927828,nan
165843,49561.258023,r,0.927595,nan
165844,49561.258452,r,0.927358,nan
165845,49561.258868,r,0.882957,nan
165846,49561.259296,r,0.882742,nan
168684,49564.160876,r,1.200139,nan
168685,49564.161305,r,1.196599,nan
168686,49564.161733,r,1.152098,nan
168687,49564.162161,r,1.151294,nan
168688,49564.162589,r,1.150494,nan
168689,49564.163018,r,1.149697,nan
168690,49564.163434,r,1.148903,nan
168691,49564.163851,r,1.148133,nan
168692,49564.164279,r,1.147367,nan
168693,49564.164696,r,1.146583,nan
168694,49564.165124,r,1.111493,nan
168695,49564.165552,r,1.110741,nan
168696,49564.165981,r,1.109993,nan
168697,49564.166409,r,1.109248,nan
168698,49564.166837,r,1.108506,nan
168699,49564.167254,r,1.107767,nan
168700,49564.167682,r,1.10705,nan
168701,49564.16811,r,1.106317,nan
168702,49564.168539,r,1.218228,nan
168703,49564.168955,r,1.217415,nan
182592,49581.185047,r,0.604305,26.66213441817716
182593,49581.185475,r,0.628108,26.662062349212718
182594,49581.185903,r,0.624703,26.661990283257126
182595,49581.186332,r,0.624523,26.66191805194221
182596,49581.186748,r,0.624344,26.661848012340915
182597,49581.187177,r,0.624171,26.661775786978875
182598,49581.187605,r,0.623994,26.661703732985632
182599,49581.188021,r,0.623818,26.66163370207943
182600,49581.188438,r,0.623649,26.661563505682043
182601,49581.188855,r,0.62348,26.661493312137768
182602,49581.189271,r,0.61911,26.661423289767207
182603,49581.1897,r,0.618945,26.66135108217272
182604,49581.190128,r,0.618777,26.66127904590396
182605,49581.190545,r,0.618609,26.66120886392617
182606,49581.190973,r,0.618447,26.66113683359148
182607,49581.19139,r,0.618282,26.661066657393498
182608,49581.191806,r,0.618122,26.66099665232606
182609,49581.192234,r,0.617964,26.6609246308448
182610,49581.192663,r,0.617802,26.66085244410395
182611,49581.193091,r,0.630055,26.660780428638255
189557,49591.243567,r,0.717496,25.55847234335029
189558,49591.243984,r,0.717523,25.5584524536234
189559,49591.244401,r,0.717547,25.558432565674906
189560,49591.244829,r,0.727567,25.558412154953732
189561,49591.245246,r,0.727595,25.558392270609012
189562,49591.245662,r,0.727624,25.55837243571997
189563,49591.246079,r,0.727653,25.558352554927136
189564,49591.246507,r,0.727684,25.558332151549298
189565,49591.246935,r,0.727716,25.55831175004468
189566,49591.247364,r,0.72775,25.55829130275233
189567,49591.24778,r,0.727786,25.558271476871894
189568,49591.248197,r,0.727821,25.55825160510817
189569,49591.248614,r,0.679213,25.558231735122263
189570,49591.24903,r,0.679248,25.558211914556868
189571,49591.249447,r,0.679283,25.558192048121033
189572,49591.249875,r,0.679319,25.558171659478855
189573,49591.250292,r,0.679358,25.558151796644562
189574,49591.250708,r,0.679397,25.558131983213265
189575,49591.251137,r,0.679436,25.55811155246456
189576,49591.251565,r,0.679478,25.55809117121399
192045,49594.082426,r,0.817903,25.463454078722293
192046,49594.082854,r,0.822393,25.463445684502588
192047,49594.083283,r,0.821871,25.46343727235275
192048,49594.083711,r,0.821351,25.46342888149023
192049,49594.084139,r,0.820833,25.463420492304284
192050,49594.084567,r,0.820317,25.46341210479487
192051,49594.084996,r,0.819804,25.46340369937085
192052,49594.085424,r,0.932251,25.46339531521832
192053,49594.085852,r,0.931652,25.463386932742218
192054,49594.08628,r,0.931055,25.46337855194235
192055,49594.086709,r,0.930461,25.46337015324353
192056,49594.087137,r,0.929869,25.46336177580038
192057,49594.087565,r,0.929279,25.46335340003349
192058,49594.087993,r,0.928692,25.463345025942836
192059,49594.088422,r,0.928108,25.463336633968613
192060,49594.088838,r,0.992462,25.463328497904808
192061,49594.089255,r,0.99185,25.46332034387245
192062,49594.089683,r,0.991241,25.463311976400185
192063,49594.090111,r,0.990616,25.463303610603955
192064,49594.09054,r,0.989995,25.463295226943355
194802,49597.068236,r,0.768827,25.44311309743897
194803,49597.068653,r,0.835181,25.44311491229898
194804,49597.069081,r,0.834639,25.443116776228262
194805,49597.069509,r,0.834083,25.443118641368404
194806,49597.069937,r,0.83353,25.4431205077194
194807,49597.070366,r,0.832979,25.443122379646145
194808,49597.070794,r,0.832431,25.44312424842171
194809,49597.071222,r,0.907267,25.443126118408152
194810,49597.071639,r,0.90666,25.443127941498812
194811,49597.072067,r,0.906072,25.44312981387591
194812,49597.072495,r,0.905469,25.4431316874639
194813,49597.072923,r,0.904869,25.443133562262794
194814,49597.073352,r,0.904272,25.443135442657223
194815,49597.07378,r,0.903677,25.44313731988077
194816,49597.074208,r,0.903084,25.44313919831524
194817,49597.074636,r,0.902494,25.44314107796064
194818,49597.075065,r,0.845925,25.443142963212914
194819,49597.075493,r,0.845386,25.44314484528302
194820,49597.075921,r,0.844848,25.443146728564102
194821,49597.076338,r,0.844313,25.44314856460772
199611,49608.230246,r,0.554951,25.934795017705223
