objId,ra,dec,mag,sed_name,redshift
61444500235290,52.962148,-27.1448158,22.1646637,galaxySED/Burst.25E09.1Z.spec.gz,0.744
61442806810650,52.9560489,-27.1537002,19.8218788,galaxySED/Burst.25E09.1Z.spec.gz,0.196
61457822709786,52.8176539,-27.1969271,24.3164715,galaxySED/Burst.25E09.1Z.spec.gz,1.514
61441421581338,52.8293685,-27.188041,21.8422169,galaxySED/Burst.25E09.1Z.spec.gz,0.636
61441280912410,52.895823,-27.1574386,19.5914616,galaxySED/Burst.25E09.1Z.spec.gz,0.436
61453597000730,52.8328422,-27.2005795,22.3219151,galaxySED/Burst.25E09.1Z.spec.gz,0.832
61440219958298,52.9035251,-27.1818063,21.0792851,galaxySED/Burst.25E09.1Z.spec.gz,0.322
61448900041754,52.8835646,-27.1825825,18.5523209,galaxySED/Burst.25E09.1Z.spec.gz,0.194
61443592753178,52.8724604,-27.171153,23.3810715,galaxySED/Burst.25E09.1Z.spec.gz,1.248
61441659872282,52.8840928,-27.1673441,23.0854973,galaxySED/Burst.25E09.1Z.spec.gz,1.128
