objId,ra,dec,mag,sed_name,redshift
614571936912588828,53.2178953,-27.2872275,28.5034627,agnSED/agn.spec.gz,1.58
614571936912589852,53.2183153,-27.2869723,28.3339896,agnSED/agn.spec.gz,1.58
614401288335585308,53.2487015,-27.2700271,25.5138682,agnSED/agn.spec.gz,0.49
614401288335586332,53.2483417,-27.269882,27.7559115,agnSED/agn.spec.gz,0.49
614406406739234844,53.262718,-27.2632034,25.746077,agnSED/agn.spec.gz,1.1
614406406739235868,53.2625803,-27.263115,23.5836214,agnSED/agn.spec.gz,1.1
614487825346732060,53.2642953,-27.2851424,34.71212,agnSED/agn.spec.gz,4.39
614487825346733084,53.263899,-27.2848354,34.3084844,agnSED/agn.spec.gz,4.39
614531172321910812,53.2628788,-27.2775539,23.7126448,agnSED/agn.spec.gz,1.07
614531172321911836,53.2623463,-27.277405,22.9667134,agnSED/agn.spec.gz,1.07
614578024993959964,53.1975482,-27.655214,30.7790674,agnSED/agn.spec.gz,2.21
614578024993960988,53.1977297,-27.6550769,30.7271992,agnSED/agn.spec.gz,2.21
614484516424777756,53.18158,-27.6720692,21.9932896,agnSED/agn.spec.gz,1.06
614484516424778780,53.1813747,-27.6720825,23.7564917,agnSED/agn.spec.gz,1.06
614407655457165340,53.2072677,-27.2962061,29.3137106,agnSED/agn.spec.gz,1.76
614407655457166364,53.2071271,-27.2962083,31.3807458,agnSED/agn.spec.gz,1.76
614417623235719196,53.2009097,-27.3138348,25.9881156,agnSED/agn.spec.gz,1.04
614417623235720220,53.2011578,-27.3138071,25.7368579,agnSED/agn.spec.gz,1.04
614402488268927004,53.1918517,-27.3254269,27.6050379,agnSED/agn.spec.gz,0.62
614402488268928028,53.1924619,-27.3251377,26.956784,agnSED/agn.spec.gz,0.62
614402488268929052,53.1924866,-27.3248237,26.8691245,agnSED/agn.spec.gz,0.62
614402488268930076,53.191918,-27.3247288,27.953244,agnSED/agn.spec.gz,0.62
614405008077017116,53.1305496,-27.3798693,28.5024594,agnSED/agn.spec.gz,2.0
614405008077018140,53.1301859,-27.379676,28.7964632,agnSED/agn.spec.gz,2.0
614482076519895068,53.1341099,-27.3704686,29.3530368,agnSED/agn.spec.gz,2.07
614482076519896092,53.1338116,-27.3701521,30.6425871,agnSED/agn.spec.gz,2.07
614420927705030684,53.1890627,-27.3822328,25.4053576,agnSED/agn.spec.gz,2.0
614420927705031708,53.1888817,-27.3821268,25.7449478,agnSED/agn.spec.gz,2.0
614420927705032732,53.1891429,-27.3820475,25.8372434,agnSED/agn.spec.gz,2.0
614420927705033756,53.1889436,-27.3819212,25.5395623,agnSED/agn.spec.gz,2.0
614456326012170268,53.1921397,-27.3765609,26.8264515,agnSED/agn.spec.gz,3.73
